timestamp,model,task,q,k,v,gate,up,method_name,cpr
2026-05-07 22:02:35,qwen2.5,ioi,1.5,1.0,1.0,1.0,1.0,eap_scaling_q1.5_k1.0_v1.0_g1.0_u1.0,0.2689
2026-05-07 22:03:50,qwen2.5,ioi,1.0,1.5,1.0,1.0,1.0,eap_scaling_q1.0_k1.5_v1.0_g1.0_u1.0,0.2684
2026-05-07 22:05:08,qwen2.5,ioi,1.0,1.0,1.5,1.0,1.0,eap_scaling_q1.0_k1.0_v1.5_g1.0_u1.0,1.5493
2026-05-07 22:06:26,qwen2.5,ioi,1.0,1.0,1.0,1.5,1.0,eap_scaling_q1.0_k1.0_v1.0_g1.5_u1.0,1.0803
2026-05-07 22:07:41,qwen2.5,ioi,1.0,1.0,1.0,1.0,1.5,eap_scaling_q1.0_k1.0_v1.0_g1.0_u1.5,0.2768
2026-05-07 22:08:59,qwen2.5,ioi,3.0,1.0,1.0,1.0,1.0,eap_scaling_q3.0_k1.0_v1.0_g1.0_u1.0,0.3217
2026-05-07 22:10:14,qwen2.5,ioi,1.0,3.0,1.0,1.0,1.0,eap_scaling_q1.0_k3.0_v1.0_g1.0_u1.0,0.2671
2026-05-07 22:11:33,qwen2.5,ioi,1.0,1.0,3.0,1.0,1.0,eap_scaling_q1.0_k1.0_v3.0_g1.0_u1.0,1.6684
2026-05-07 22:12:47,qwen2.5,ioi,1.0,1.0,1.0,3.0,1.0,eap_scaling_q1.0_k1.0_v1.0_g3.0_u1.0,0.8687
2026-05-07 22:14:00,qwen2.5,ioi,1.0,1.0,1.0,1.0,3.0,eap_scaling_q1.0_k1.0_v1.0_g1.0_u3.0,0.9466
2026-05-07 22:14:57,qwen2.5,mcqa,0.0,1.0,1.0,1.0,1.0,eap_scaling_q0.0_k1.0_v1.0_g1.0_u1.0,0.8862
2026-05-07 22:15:55,qwen2.5,mcqa,1.0,0.0,1.0,1.0,1.0,eap_scaling_q1.0_k0.0_v1.0_g1.0_u1.0,0.9293
2026-05-07 22:16:52,qwen2.5,mcqa,1.0,1.0,0.0,1.0,1.0,eap_scaling_q1.0_k1.0_v0.0_g1.0_u1.0,0.2867
2026-05-07 22:17:50,qwen2.5,mcqa,1.0,1.0,1.0,0.0,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.0_u1.0,1.3756
2026-05-07 22:18:47,qwen2.5,mcqa,1.0,1.0,1.0,1.0,0.0,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.0,1.1699
2026-05-07 22:19:44,qwen2.5,mcqa,0.05,1.0,1.0,1.0,1.0,eap_scaling_q0.05_k1.0_v1.0_g1.0_u1.0,0.9233
2026-05-07 22:20:41,qwen2.5,mcqa,1.0,0.05,1.0,1.0,1.0,eap_scaling_q1.0_k0.05_v1.0_g1.0_u1.0,1.1055
2026-05-07 22:21:37,qwen2.5,mcqa,1.0,1.0,0.05,1.0,1.0,eap_scaling_q1.0_k1.0_v0.05_g1.0_u1.0,0.2902
2026-05-07 22:22:35,qwen2.5,mcqa,1.0,1.0,1.0,0.05,1.0,eap_scaling_q1.0_k1.0_v1.0_g0.05_u1.0,1.1950
2026-05-07 22:23:33,qwen2.5,mcqa,1.0,1.0,1.0,1.0,0.05,eap_scaling_q1.0_k1.0_v1.0_g1.0_u0.05,1.3168
2026-05-07 22:24:31,qwen2.5,mcqa,0.1,1.0,1.0,1.0,1.0,eap_scaling_q0.1_k1.0_v1.0_g1.0_u1.0,0.9679
2026-05-07 22:25:28,qwen2.5,mcqa,1.0,0.1,1.0,1.0,1.0,eap_scaling_q1.0_k0.1_v1.0_g1.0_u1.0,1.1315
