timestamp,model,task,q,k,v,gate,up,method_name,cpr
2026-05-07 10:11:08,qwen2.5,ioi,1.0,0.5,1.0,1.0,1.0,eap_frnorm_q1.0_k0.5_v1.0_g1.0_u1.0,1.6171
2026-05-07 10:12:25,qwen2.5,ioi,1.0,1.0,0.5,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.5_g1.0_u1.0,1.2932
2026-05-07 10:13:42,qwen2.5,ioi,1.0,1.0,1.0,0.5,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.5_u1.0,1.5649
2026-05-07 10:15:00,qwen2.5,ioi,1.0,1.0,1.0,1.0,0.5,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.5,1.4916
2026-05-07 10:16:18,qwen2.5,ioi,1.0,1.0,1.0,1.0,1.0,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u1.0,1.3762
2026-05-07 10:17:35,qwen2.5,ioi,1.5,1.0,1.0,1.0,1.0,eap_frnorm_q1.5_k1.0_v1.0_g1.0_u1.0,1.2673
2026-05-07 10:18:53,qwen2.5,ioi,1.0,1.5,1.0,1.0,1.0,eap_frnorm_q1.0_k1.5_v1.0_g1.0_u1.0,1.3475
2026-05-07 10:20:09,qwen2.5,ioi,1.0,1.0,1.5,1.0,1.0,eap_frnorm_q1.0_k1.0_v1.5_g1.0_u1.0,1.5134
2026-05-07 10:21:28,qwen2.5,ioi,1.0,1.0,1.0,1.5,1.0,eap_frnorm_q1.0_k1.0_v1.0_g1.5_u1.0,1.2480
2026-05-07 10:22:45,qwen2.5,ioi,1.0,1.0,1.0,1.0,1.5,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u1.5,1.2778
2026-05-07 10:24:13,qwen2.5,ioi,3.0,1.0,1.0,1.0,1.0,eap_frnorm_q3.0_k1.0_v1.0_g1.0_u1.0,0.2887
2026-05-07 10:25:40,qwen2.5,ioi,1.0,3.0,1.0,1.0,1.0,eap_frnorm_q1.0_k3.0_v1.0_g1.0_u1.0,0.3396
2026-05-07 10:26:58,qwen2.5,ioi,1.0,1.0,3.0,1.0,1.0,eap_frnorm_q1.0_k1.0_v3.0_g1.0_u1.0,1.6045
2026-05-07 10:28:33,qwen2.5,ioi,1.0,1.0,1.0,3.0,1.0,eap_frnorm_q1.0_k1.0_v1.0_g3.0_u1.0,0.2990
2026-05-07 10:30:05,qwen2.5,ioi,1.0,1.0,1.0,1.0,3.0,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u3.0,0.2650
2026-05-07 10:31:02,qwen2.5,mcqa,0.0,1.0,1.0,1.0,1.0,eap_frnorm_q0.0_k1.0_v1.0_g1.0_u1.0,1.0375
2026-05-07 10:32:00,qwen2.5,mcqa,1.0,0.0,1.0,1.0,1.0,eap_frnorm_q1.0_k0.0_v1.0_g1.0_u1.0,1.0872
2026-05-07 10:32:57,qwen2.5,mcqa,1.0,1.0,0.0,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.0_g1.0_u1.0,1.0889
2026-05-07 10:33:54,qwen2.5,mcqa,1.0,1.0,1.0,0.0,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.0_u1.0,1.2742
2026-05-07 10:34:51,qwen2.5,mcqa,1.0,1.0,1.0,1.0,0.0,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.0,1.1471
2026-05-07 10:35:47,qwen2.5,mcqa,0.05,1.0,1.0,1.0,1.0,eap_frnorm_q0.05_k1.0_v1.0_g1.0_u1.0,1.0300
2026-05-07 10:36:44,qwen2.5,mcqa,1.0,0.05,1.0,1.0,1.0,eap_frnorm_q1.0_k0.05_v1.0_g1.0_u1.0,1.0697
2026-05-07 10:37:40,qwen2.5,mcqa,1.0,1.0,0.05,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.05_g1.0_u1.0,1.0556
2026-05-07 10:38:38,qwen2.5,mcqa,1.0,1.0,1.0,0.05,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.05_u1.0,1.2642
2026-05-07 10:39:34,qwen2.5,mcqa,1.0,1.0,1.0,1.0,0.05,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.05,1.1672
2026-05-07 10:40:38,qwen2.5,mcqa,0.1,1.0,1.0,1.0,1.0,eap_frnorm_q0.1_k1.0_v1.0_g1.0_u1.0,1.0006
2026-05-07 10:41:41,qwen2.5,mcqa,1.0,0.1,1.0,1.0,1.0,eap_frnorm_q1.0_k0.1_v1.0_g1.0_u1.0,1.1103
2026-05-07 10:42:38,qwen2.5,mcqa,1.0,1.0,0.1,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.1_g1.0_u1.0,1.2612
2026-05-07 10:43:35,qwen2.5,mcqa,1.0,1.0,1.0,0.1,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.1_u1.0,1.3758
2026-05-07 10:44:32,qwen2.5,mcqa,1.0,1.0,1.0,1.0,0.1,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.1,1.1920
2026-05-07 10:45:35,qwen2.5,mcqa,0.2,1.0,1.0,1.0,1.0,eap_frnorm_q0.2_k1.0_v1.0_g1.0_u1.0,1.0289
2026-05-07 10:46:33,qwen2.5,mcqa,1.0,0.2,1.0,1.0,1.0,eap_frnorm_q1.0_k0.2_v1.0_g1.0_u1.0,1.1325
2026-05-07 10:47:30,qwen2.5,mcqa,1.0,1.0,0.2,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.2_g1.0_u1.0,1.4837
2026-05-07 10:48:28,qwen2.5,mcqa,1.0,1.0,1.0,0.2,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.2_u1.0,1.5249
2026-05-07 10:49:25,qwen2.5,mcqa,1.0,1.0,1.0,1.0,0.2,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.2,1.1168
2026-05-07 10:50:21,qwen2.5,mcqa,0.5,1.0,1.0,1.0,1.0,eap_frnorm_q0.5_k1.0_v1.0_g1.0_u1.0,1.1251
2026-05-07 10:51:19,qwen2.5,mcqa,1.0,0.5,1.0,1.0,1.0,eap_frnorm_q1.0_k0.5_v1.0_g1.0_u1.0,1.1933
2026-05-07 10:52:16,qwen2.5,mcqa,1.0,1.0,0.5,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.5_g1.0_u1.0,1.1292
2026-05-07 10:53:13,qwen2.5,mcqa,1.0,1.0,1.0,0.5,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.5_u1.0,1.0847
2026-05-07 10:54:10,qwen2.5,mcqa,1.0,1.0,1.0,1.0,0.5,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.5,0.9846
2026-05-07 10:55:08,qwen2.5,mcqa,1.0,1.0,1.0,1.0,1.0,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u1.0,1.0853
